"Lefordítandó szöveg","Lefordított szöveg"
"Fuvarozás mód","Mode of forwarding nxx"
"Darab","Piece"
"DÍJBEKÉRŐ","PROFORMA INVOICE"
"Név","Name"
"Sarzs","[ Batch]"
"Raklap összesítés","RLP sum eng"
"Nettó mennyiség","Net weight"
"ETK, cikk név","Item"
"Lejárati dátum","Best before"
"Magyarország","Hungary"
"Fagyos","frozen"
"Előhűtött","fresh"
"Cikk név","Product name"
"Szállítás módja","MODE OF TRANSPORT"
"Szállítás dátuma","DATE D'EXPEDITION"
"Felrakodás helye","LIEU D’EXPEDITION"
"Rendszám","CAMION NR"
"Vevő név","CUSTOMER NAME"
"Számla szám","INVOICE NO"
"Raklap","Palette Nr"
"Cikk kód","Item number"
"Hűtés módja","Type of cooling"
"Karton száma","number of cartons"
"Nettó súly","net weight"
"Konténerszám","CONTAINER NR"
"Tétel","Batch"
"Konténer","CONTAINER"
"Készletmozgás biz.szám","No."
"Gyártás dátum","Production date"
"megjegyzes","note"
"marha jó","cow good"
"Lefúrási szempontok","Drilling considerations"
"szűrése","filtering"
"Mégsem","Cancel"
"Összes kijelölése","Select all"
"Telephely","Location"
"Súly (kg)","Weight (kg)"
"Igen","Yes"
"Nem","No"
"Üzem","Factory"
"Frissítés","Refresh"
"Fő testtáj","Main body part"
"Utihulla","Roaddeath"
"Átlagtömeg","Average weight"
"Állomány minősítés","ENG- Állomány minősítés"
"Egész csirke","Whole chicken"
"CSIRKE","CHICKEN"
"Számla aláírás és bélyegző nélkül érvényes.","The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp"
"Adatok","Datas"
"Dátum","Date"
"Gyártási lap","Production sheet"
"Mutat","Show"
"Raktár","Store"
"Megjegyzés","Comment"
"Szöveg","Text"
"Nyelv név","Language name"
"Kód","Code"
"Érv.?","Valid?"
"Vonalkód","Barcode"
"Hálózat státusza: ","Net status: "
"<font color=green><b>Kapcsolódva</b></font>","<font color=green><b>Connected</b></font>"
"Státusz frissítés","Refresh status"
"Státusz lekérdezés","Query status"
"<font color=red><b>Leválasztva</b></font>","<font color=red><b>Disconnected</b></font>"
"Tetszőleges belső megjegyzés","Any internal comment"
"Pénznem: ","Currency:"
"Alapértelmezett számlázási pénznem","Default Invoice currency"
"Nyelv","Language"
"Gombok","Buttons"
"Adatbázis session
kapcsolat ellenőrzése","Database session
connection check"
"Újracsatlakozás
adatbázishoz","Reconnect
to database"
"Első fül","First tab"
"Második fül","Second tab"
"Harmadik fül","Third tab"
"Utolsó fül","[Last tab']"
"Munkafüzet betöltése...","[Loading workbook ...]"
"Település","[ City ]"
"Ország név","[ Country name ]"
"Skontó (%)","[Discount (%)]"
" Táblázatban a rendeltek megjelenjenek? ","[Should the orders appear in a table? ]"
"Felhasználó kód","[ User code ]"
"Munkaszám név","[Work number name]"
"Mennyiség","[ Quantity ]"
"M.e.","[ M.e. ]"
"Pénznem név","[ Currency name ]"
"Ügynök kód","[Agent code]"
"Múlt év","[Last year]"
"Partner típus","[Partner Type ]"
"Hivatkozás","[Link]"
"Fizetési mód név","[Payment method name]"
"Egyéb adatok","[Other data[ ]"
"Múlt hónap","[Last month]"
"Év","[ Year ]"
"Státusz","[ Status ]"
"Ügynök név","[Agent name]"
"Partner típus név","[ Partner type name [ ]"
"  Készültség: ","[Preparation: ]"
"Hónap","[ Month ]"
"IBAN","[ ]"
"Nap","[ Day]"
"Ma","[Ma]"
"Szállítási cím","Delivery adress"
"Érvényesítés","[ ]"
"(*)A lefordítandó szöveg","[ (*) Text to be translated ]"
"Bankszámla kód","[Bank account code ]"
"Biz.szám","[Receipt number]"
"Áru kód","[ Commodity code ]"
"Leírás","[ Description ]"
"Cím név","[ Address name ]"
"Alapadatok","[ Basic data ]"
"Cím","[ Address ]"
"Alap
egységár","[Fund\n]"
"Nyelv kód","[ Language code ]"
"Darab (gyűjtő)","[Piece (collective)]"
"Bejelentő adószáma","[Declarant's tax number]"
"Szint: ","[Level: ]"
"Termény vásárlás prioritás: ","[ Crop purchase priority: ]"
"Termény vásárlás ártípus: ","[ Crop purchase price type: ]"
"Generált cím: ","[ Generated address: ]"
" Igazolt szállítólevél átadás?","[ Certified delivery note transfer ]"
"Érv.vége","[ Argument end ]"
"Közterület név: ","[ Public area name: ]"
"Árukísérő adattartalom: ","[ Accompanying data content: ]"
"Adó árfolyam
típus kód","[ Tax rate\n]"
"Termény vásárlás pénznem: ","[Crop purchase currency: ]"
"Beszerzés árfolyam
típus kód","[ Purchase rate\n]"
"Munkalap főkönyvi napló: ","[Worksheet ledger: ]"
"Lépcsőház: ","[ Staircase: ]"
"Rövid név","[ Short name ]"
"Főkönyvi bizonylat határnap: ","[ General ledger deadline: ]"
"Érték","[ Value ]"
"Adó árfolyam típus:","[ Tax rate type: ]"
"Bolti terhelés jogcím:","[ Store Debit Item: ]"
"Árfolyam típus kód","[ Exchange Rate Type Code ]"
"Ajtó: ","[ Door: ]"
"Határnapok","[ Deadlines ]"
"Tételképzési mód(termelési): ","[ Item Formation (Production): ]"
"Készlet feladás főkönyvi napló: ","[ Stock Posting General Ledger: ]"
"Érvényesség
vége","[ Validity\n]"
"Adó kulcs","[Tax rate ]"
" Csak szállítólevél kezelés?","[ Delivery note handling only ]"
"Árfolyam típus időszak","[ Exchange rate type period ]"
"Árfolyamok","[ Exchange rates ]"
"Költséghely: ","[ Cost center: ]"
"Pénztár főkönyvi napló: ","[ Cash register ledger: ]"
"Bank főkönyvi napló:","[ Bank ledger: ]"
"Székhely cím","[ Registered office address ]"
"Fordított ÁFA szabály","[ Reverse VAT rule ]"
"Csoport azonosító szám: ","[Group identification number: ]"
"Épület: ","[ Building: ]"
"(*)A nyelv kódja","[(*) Language code]"
"Alternatív név","[Alternative name]"
"Címke","[ Label ]"
"(*)Kód","[ (*) Code ]"
"Üzenet","Message"
"OK","OK "
"Elnevezés","Name "
"Kilépés"," Exit "
"Módosít"," Change "
"Feltölt"," Upload "
"Törlés"," Delete "
"Automatikus feltölt?"," Auto-fill?"
"Partner név","[ Partner name ]"
"Paraméter","Parameter "
"Email cím","[Email address ]"
"Partner kód","[ Partner code ]"
"Egalizált mennyiségtől eltérhet?","[Can it differ from the equalized amount?]"
"Felhasználó név","[ Username ]"
"Ország kód","[Country code ]"
"Text típusú értékkészlet","[Text type value set]"
"(*)Elnevezés","[ (*) Name ]"
"(*)[Vállalat]->A vállalat egyedi kódja","[(*) [Company] -\u003e Unique company code]"
"Vállalat kód","[ Company code ]"
"Vállalat név","[ Company name]"
"A sima felirat","['The plain caption]"
"Az ""idézőjeles"" felirat","['The caption']"
"Utolsó előtti fül","[Last penultimate tab]"
"Aposztrófos' fül","[Apostrophe' tab ']"
"<font color=red><b>A piros, HTML felirat</b></font>","[The red, HTML caption]"
"A pontozott... felirat","['The dotted ... caption]"
"ISO-639-1 kód","ISO-639-1 code"
"Vonalkód:"," Barcode:"
"Raklap: ","[Pallet:]"
"Hova: "," To: "
"A módosítások a következő bejelentkezéskor lépnek életbe.","[ Changes take effect the next time you log in. ]"
"Típus"," Type "
"Séma"," Schema "
"A séma neve","[ Schema Name ]"
"Tárolt eljárások","[ Stored Procedures]"
"A tárolt eljárás neve","[Name of the stored procedure ]"
"A visszatérési érték típusa","[ Type of return value ]"
"A formális paraméter lista","[ List of formal parameters]"
"(*)[Nyelv]->A nyelv kódja","[(*) [Language] -\u003e Language code]"
"Kamerakép","Camera Image "
"Vonalkód: -","[ Barcode: - ]"
"Vonalkód+Kép"," Barcode + Image"
"Túra indítható?","[Can a tour be started?] ]"
"Illetékesség","[ Jurisdiction]"
"Készletszint feltöltés szabály név","[Inventory level replenishment rule name ]"
"Elsődleges üzem név","[ Primary plant name ]"
"Készletszint feltöltés szabály kód","[ Inventory level replenishment rule code ]"
"Elsődleges üzem kód","[ Primary plant code ]"
"Vállalat szervezet","[ Company organization ]"
"Gyártmánylap jóváhagyás kezdő dátum","[ Product sheet approval start date ]"
"Szervezet","[ Organization ]"
"  Címke darab:","[Label pieces: ]"
"Pénzforgalmi jelzőszám","[ Cash register ]"
"Sor","[ Line ]"
"Mind","[ All ]"
"Mozgásnem név","[ Movement name ]"
"Árukísérő?","[ Accompanying? ]"
"Számlák","[ Invoices ]"
"Szerepkör felhasználói lekérdezés jogosultság","[ Role user query authority ]"
"Számla nyomtató: ","[ Invoice printer: ]"
"Raktár kód","[ Warehouse code ]"
"Eleje/vége","[ Start / end ]"
"Telephely kód","[ Location code]"
"Bevételező mozgásnem név","[ Receiving movement name ]"
"Bevételező raktár név","[ Receiving warehouse name ]"
"EKAER felhasználó","[ EKAER user ]"
"Értékesítés szabály","[ Sales rule ]"
"Sor - Oszlop csere (I)","[ Row - Column replacement (I) ]"
"(*)[Felhasználó]->Elnevezés","[ (*) [User] -\u003e Name ]"
"Automatikus frissítés","[ Automatic update]"
"Tevékenység sablon","[Activity template ]"
"Túra kezelés szabály","[ Tour management rule ]"
"Felhasználó kód nyomtat","[ Print user code ]"
"Túra státusz","[ Tour status ]"
"Csoportnév","[ Group name ]"
"Jogcím kód","[ Title code ]"
"Kapujegy","[ Gate ticket ]"
" perc","[ minutes ]"
"Tevékenység sablon név","[ Activity template name ]"
"Elsődleges telephely és raktár beállítás","[ Primary location and warehouse setting ]"
"Túra","[ Tour]"
"Rakodás alatt","[Loading ]"
"Kódszótár","[ Code dictionary ]"
"Periódus: ","[ Period: ]"
"Raktár:","[ Warehouse: ]"
"Felhasználó","[ User ]"
"Terem","[ Room ]"
"Rakodás státusz","[ Loading status ]"
"Vállalat felhasználó","[ Company user ]"
"Beállítások
megjelenítése","[ Settings\n]"
"Pénzmozgás szabály","[ Cash flow rule ]"
"Rakat","[ Stack ]"
"Szerepkörök és készletmozgás jogok másolása","[ Copy roles and inventory movement rights ]"
"Szerepkör felhasználók","[ Role users ]"
"Elsődleges telephely: ","[ Primary location: ]"
"Kapujegy?","[ Gate ticket?]"
"Túra bizonylatszám","[Tour voucher number ]"
"Kijelölt darab (gyűjtő)","[ Designated piece (collector) ]"
"Csak élő tervek? ","[ Live plans only? ]"
"Böngésző","[Browser ]"
"  Készültségenként","[ By power ]"
"Nyomtatandó darab (gyűjtő)","[ Piece to be printed (collector) ]"
"Újratervezés","[ Redesign ]"
"Nyomtatás
cikkenként","[ Print\n]"
"Mind be","[All on ]"
"Kijelölt hatókör","[ Selected scope ]"
"Nyomtatás túránként - lapváltás túránként?","[ Print per tour - change pages per tour ]"
"Elérhetőség","[ Availability ]"
"Mennyiség
kijelölt","[ Quantity\n]"
" Hiányra szűrés? ","[Missing screening? ]"
"1. Túra -
gyűjtési pontok","[Tour 1 -\n]"
"Pénznem","[Currency]"
"Számla kibocsátás mód","[Invoice issuance method]"
"Pb. szám","[Pb. ]"
"Jutalék (%)","[Commission (%)]"
"Teljesítés vége","[End of execution]"
"Bruttó érték","[ Gross value ]"
"Tétel megjegyzés","[Item comment]"
"Kelt","[Date]"
"Árfolyam","[ Exchange rate ]"
"Fizetési mód kód","[Payment method code]"
"Számla megjegyzés","[Account note]"
"Adó dátum","[Tax date]"
"Rendezési mód: ","[Order method: ]"
"Kiállító","[Issuer]"
"Számla kontír státusz","[Invoice account status]"
"Teljesítés","[Execution]"
"Kontírozás mód","[Ordering method]"
"Pénznem kód","[ Currency code ]"
"Rendezetlen érték","[Unordered value]"
"ETK","[ ETK ]"
"Partner: ","[ Partner: ]"
"(*)[Melyik településen található a telephely.]->Az ország egyedi neve","[ (*) [In which settlement is the site located ]"
"Éjfél utáni órák száma","[Number of hours after midnight ]"
"Készlet sorrend","[Inventory order ]"
"Vágóhíd?","[ Slaughterhouse? ]"
"ENAR azonosító","[ ENAR ID ]"
"Ir.szám: ","[ Registration number: ]"
"Offline tikett típusa","[ Offline ticket type ]"
"Számla jogcím név","[ Account title name ]"
"Ártípus név","[ Price type ]"
"Paritás: ","[ Parity: ]"
"Tételképzési mód(szállítói): ","[ Item creation method (suppliers): ]"
"Tárgyi eszköz főkönyvi napló:","[ Tangible asset general ledger journal: ]"
"Pénzmozgás árfolyam típus:","[ Cash flow exchange rate type: ]"
"Induló forduló: ","[ Starting round: ]"
"Árfolyam típus név","[ Exchange rate type name ]"
"Üzem: ","[ Plant: ]"
"Érvényesség
kezdete","[ Validity\n]"
"Mennyiségi egység: ","[Quantity unit: ]"
" Árukisérő kiszolgálás?","[ Accompanying service? ]"
" Szállításszervezés átadás?","[ Delivery organization transfer? ]"
"Kompenzáció főkönyvi napló: ","[ Compensation ledger log: ]"
" Egyszerre mozgatható maximális mennyiség: ","[ Maximum quantity that can be moved at one time: ]"
"Értékesítés árfolyam
típus név","[ Sales rate\n]"
"Település: ","[Town: ]"
"Min. rendelési érték: ","[ Min. ]"
"Késedelmi kamat típus:","[Type of interest for late payment: ]"
"Adószám: ","[ Tax number: ]"
"Közösségi adószám: ","[ Community tax number: ]"
" Számláz?","[ Invoice?\n]"
"Szállítói megrendeles határnap: ","[Supplier Order Deadline: ]"
"Adóhatósági ellenőrzési adatszolgáltatás","[ Tax Authority Audit Reporting ]"
"Pénzmozgás árfolyam
típus név","[ Cash Flow Rate\n]"
"Székhely cím: ","[Headquarters Address: ]"
"Felvásárlás fizetési hat. napok: ","[ Acquisition payment six. ]"
"Működés","[Operation ]"
"Záró forduló: ","[ Closing round: ]"
"Felvásárlás fizetési mód:","[ Purchase payment method: ]"
"Beszerzés árfolyam típus:","[ Purchase exchange rate type: ]"
"FELIR azonosító: ","[ FELIR identifier: ]"
"Főkönyv","[ General ledger ]"
"Közterület jelleg: ","[ Public area type: ]"
"Érv.kezdete","[ Argument start ]"
"Értékesítés árfolyam típus:","[ Sales exchange rate type: ]"
"Értékesítés árfolyam
típus kód","[ Sales exchange rate\n]"
" Alapértelmezett leltár mennyiség jelleg: ","[Default Inventory Quantity Type: ]"
"Számla befogadás határnap: ","[ Invoice Receipt Deadline: ]"
"Vállalat","[ Company ]"
"Beszerzés árfolyam
típus név","[ Purchase Rate\n]"
"Adó árfolyam
típus név","[ Tax rate\n]"
"Fizetési mód: ","[Payment method: ]"
"Vevői megrendelés határnap: ","[ Sales order deadline: ]"
"Számlakiállítás határnap: ","[ Invoice delivery deadline: ]"
"Készletforgalom határnap: ","[ Inventory turnover deadline: ]"
"Vállalat árfolyam","[ Company exchange rate ]"
"Ir.szám","[ Registration number ]"
"Beérkező számla feladás fők. napló:","[ Incoming invoice sending principal. ]"
"Pénzmozgás árfolyam
típus kód","[Cash flow exchange rate\n]"
"Működési/Jövedéki engedély szám: ","[Operating / Excise License Number: ]"
" Raktári kiszolgálás?","[ Warehouse Service? ]"
"Hatókör","[ Scope ]"
"Számla feladás főkönyvi napló:","[ Invoice Posting General Ledger: ]"
"Házszám: ","[ House Number: ]"
"Gyártás típus: ","[ Production Type:]"
"(*)A vállalat egyedi kódja","[(*) Unique company code]"
"Túra zsilip kitöltési mód","[Tour lock filling method ]"
"Ártípus kód","[ Price type code ]"
"Betárolási javaslat?","[ Storage suggestion? ]"
"Terméktanács azonosító","[ Product board ID ]"
"Szállítólevél raktáranként?","[ Delivery note per warehouse? ]"
"Cím kód","[Address code ]"
"Számla jogcím","[ Account title ]"
"Sarzs kód szegmens","[ Batch code segment ]"
"KTJ (Környezetvédelmi Területi Jel)","[ KTJ (Environmental Territorial Sign) ]"
"Kereső név","[ Search name ]"
"Saját bolt munkaszám","[ Own shop number ]"
"Raktári műszak követés?","[ Warehouse shift tracking? ]"
"Saját bolt munkaszám név","[ Own shop job number name ]"
"Túra indítás mód","[ ]"
"Vevő","[Customer ]"
"[Saját bolt munkaszám]->Sarzs kód szegmens","[ [Own store work number] -\u003e Batch code segment ]"
"[Saját bolt munkaszám]->Elnevezés","[ [Own store work number] -\u003e Name]"
"Helyettesített cikk
egységár/kg","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Egységár/kg
eltérés","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Egységár/kg
eltérés %","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Helyettesítő
cikk kód","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Helyettesített
cikk ETK","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Helyettesítő cikk
egységár","[Replacement article\n]"
"QML","[QML]"
"  Automatikus feltölt?  ","[Auto upload?]"
"Fix főkönyvi számla kód","[Fixed General Ledger Account Code ]"
"Tárgyi eszköz csoport","[ Tangible Asset Group ]"
" Főkönyvi kategória kód szűrő: ","[ General Ledger Category Code Filter: ]"
"E. csoport név","[ E. ]"
" Dátum navigálás előszűrőket frissít?  ","[Update date navigation pre-filters? ]"
"Elsődleges telephely","[Primary site ]"
"Áthelyezés készletmozgás nélkül","[ Relocation without stock movement ]"
"Cross-docking továbbító cégre vonatkozó szállítási dátum","[ Delivery date for cross-docking forwarding company ]"
"Raklap mérés","[ Pallet measurement ]"
"Kijelölt
 túrára - tárhelyeken","[ Selected\n ]"
"(*)A telephely vállalaton belüli egyedi kódja","[(*) Site-specific unique code ]"
"Zsilip","[ Sluice ]"
"Kiemelt kezelés?","[ Priority treatment? ]"
" Település: ","[ City: ]"
"Raklap összesítő nyomtatás - kiválasztott","[ Pallet summary printing - selected ]"
"Cim: ","[ Address: ]"
"Komissiós lista nyomtatás beállítása","[ Commission list printing setting ]"
"Össz. súly (kg):","[ Total ]"
"Visszáru ok kód","[Return reason code ]"
"Egyéb adatok:","[ Other data: ]"
"Cikk","[ Article ]"
"F.Hataridő:","[ F.Date: ]"
"Nyomtatás előtt módosítható?: ","[ Can be changed before printing ?: ]"
"0001I, Külföldre eladás kitárolássalI","[ 0001I, Sale abroad by checkoutI ]"
"Fuvarkedvezmény kalkulálandó?: ","[ Freight discount to be calculated ?: ]"
"Adó
érték","[ Tax\n]"
"Alap egységár:","[Base unit price: ]"
"Település:","[ City: ]"
"Beállítások","[ Settings ]"
"Rendszám:","[ License plate: ]"
"Visszáru
darab (gyűjtő)","[ Return\n]"
"Számla kelte","Creation date"
"Fizetési határidő","Day of payment"
"Készültség","[Production]"
"Időszak: ","[ Period: ]"
"Kidolgozás kód","[Elaboration code]"
"Mozgásnem","[Type of movement]"
"Külső azonosító","[ External identifier ]"
"Üzem név","[Plant name]"
"SWIFT Kód","[SWIFT Code]"
"Pénztár","[ Cash register ]"
"Üzem kód","[Operation code]"
"Készlet lekérdezés szabály","[Stock query rule]"
"Jogcím","[Legal title]"
"Raktár név","[Warehouse name]"
"Értékcsökkenés kezdete","[Start of depreciation ]"
"Generálás","[ Generation ]"
"ÉCS kulcs név","[ ECS key name ]"
"Tervezet generálás","[ Draft generation ]"
"Évek száma","[ Number of years ]"
"Gyáriszám","[ Serial number ]"
"Értékcsökkenés kulcs","[ Depreciation key ]"
"Eszközszám","[ Device number ]"
"Értékcsökkenés tervezet","[ Depreciation draft ]"
"ÉCS kulcs kód","[ ECS key code ]"
"ÉCS érték","[ ECS value ]"
"Értékcsökkenés tervezet tétel","[ Depreciation draft item [ ]"
"Fejlesztési tartalék","[Development reserve ]"
"E. értékelés név","[ E. ]"
"Alszám","[Subheading ]"
"ÉCS számítás módszer","[ ECS calculation method ]"
"Újra generálás","[ Regeneration ]"
"Maradvány érték","[ Residual value ]"
"E. értékelés kód","[ E. ]"
"FuvarozĂĄs mĂłd","Mode of forwarding nxx"
"Raklap ĂśsszesĂ­tĂŠs","RLP sum eng"
"NettĂł mennyisĂŠg","Net weight"
"ETK, cikk nĂŠv","Item"
"LejĂĄrati dĂĄtum","Best before"
"MagyarorszĂĄg","Hungary"
"Cikk nĂŠv","Product name"
"SzĂĄllĂ­tĂĄs mĂłdja","MODE OF TRANSPORT"
"FelrakodĂĄs helye","LIEU DâEXPEDITION"
"RendszĂĄm","CAMION NR"
"VevĹ nĂŠv","CUSTOMER NAME"
"SzĂĄmla szĂĄm","INVOICE NO"
"Cikk kĂłd","Item number"
"HĹątĂŠs mĂłdja","Type of cooling"
"Karton szĂĄma","number of cartons"
"NettĂł sĂşly","net weight"
"KontĂŠnerszĂĄm","CONTAINER NR"
"TĂŠtel","Batch"
"KontĂŠner","CONTAINER"
"KĂŠszletmozgĂĄs biz.szĂĄm","No."
"GyĂĄrtĂĄs dĂĄtum","Production date"
"SzĂĄllĂ­tĂĄs dĂĄtuma","DATE D'EXPEDITION"
"ElĹhĹątĂśtt","fresh"
"marha jĂł","cow good"
"LefĂşrĂĄsi szempontok","Drilling considerations"
"szĹąrĂŠse","filtering"
"MĂŠgsem","Cancel"
"Ăsszes kijelĂślĂŠse","Select all"
"SĂşly (kg)","Weight (kg)"
"Ăzem","Factory"
"FrissĂ­tĂŠs","Refresh"
"FĹ testtĂĄj","Main body part"
"ĂtlagtĂśmeg","Average weight"
"ĂllomĂĄny minĹsĂ­tĂŠs","ENG- ĂllomĂĄny minĹsĂ­tĂŠs"
"EgĂŠsz csirke","Whole chicken"
"HĂĄlĂłzat stĂĄtusza: ","Net status: "
"SzĂĄmla alĂĄĂ­rĂĄs ĂŠs bĂŠlyegzĹ nĂŠlkĂźl ĂŠrvĂŠnyes.","The invoice is valid without sign and without stamp. Again: the invoice is valid without sign and without stamp"
"DĂĄtum","Date"
"GyĂĄrtĂĄsi lap","Pro duction sheet"
"RaktĂĄr","Store"
"StĂĄtusz frissĂ­tĂŠs","Refresh status"
"  CĂ­mke darab:","[Label pieces: ]"
"PĂŠnzforgalmi jelzĹszĂĄm","[ Cash register ]"
"StĂĄtusz lekĂŠrdezĂŠs","Query status"
"UtolsĂł fĂźl","[Last tab']"
"Nyelv nĂŠv","Language name"
"SzĂśveg","Text"
"<font color=red><b>LevĂĄlasztva</b></font>","<font color=red><b>Disconnected</b></font>"
"MunkafĂźzet betĂśltĂŠse...","[Loading workbook ...]"
"TetszĹleges belsĹ megjegyzĂŠs","Any internal comment"
"PĂŠnznem: ","Currency:"
"VonalkĂłd","Barcode"
"AlapĂŠrtelmezett szĂĄmlĂĄzĂĄsi pĂŠnznem","Default Invoice currency"
"<font color=green><b>KapcsolĂłdva</b></font>","<font color=green><b>Connected</b></font>"
"MozgĂĄsnem nĂŠv","[ Movement name ]"
"KĂłd","Code"
"AdatbĂĄzis session
kapcsolat ellenĹrzĂŠse","Database session
connection check"
"ElsĹ fĂźl","First tab"
"MĂĄsodik fĂźl","Second tab"
"Ărv.?","Valid?"
"Harmadik fĂźl","Third tab"
"NĂŠv","Name"
"ĂrukĂ­sĂŠrĹ?","[ Accompanying? ]"
"MegjegyzĂŠs","Comment"
