"Lefordítandó szöveg","Lefordított szöveg"
"ĂjracsatlakozĂĄs
adatbĂĄzishoz","Reconnect
to database"
"SzĂĄmlĂĄk","[ Invoices ]"
"Ăzenet","Message"
"(*)A nyelv kĂłdja","[(*) Language code]"
"Az ""idĂŠzĹjeles"" felirat","['The caption']"
"UtolsĂł elĹtti fĂźl","[Last penultimate tab]"
"AposztrĂłfos' fĂźl","[Apostrophe' tab ']"
"SzerepkĂśr felhasznĂĄlĂłi lekĂŠrdezĂŠs jogosultsĂĄg","[ Role user query authority ]"
"SzĂĄmla nyomtatĂł: ","[ Invoice printer: ]"
"ISO-639-1 kĂłd","ISO-639-1 code"
"RaktĂĄr kĂłd","[ Warehouse code ]"
"Eleje/vĂŠge","[ Start / end ]"
"Telephely kĂłd","[ Location code]"
"BankszĂĄmla kĂłd","[Bank account code ]"
"BevĂŠtelezĹ mozgĂĄsnem nĂŠv","[ Receiving movement name ]"
"CĂ­mke","[ Label ]"
"BevĂŠtelezĹ raktĂĄr nĂŠv","[ Receiving warehouse name ]"
"EKAER felhasznĂĄlĂł","[ EKAER user ]"
"ĂrtĂŠkesĂ­tĂŠs szabĂĄly","[ Sales rule ]"
"(*)[FelhasznĂĄlĂł]->ElnevezĂŠs","[ (*) [User] -\u003e Name ]"
"Automatikus frissĂ­tĂŠs","[ Automatic update]"
"TevĂŠkenysĂŠg sablon","[Activity template ]"
"TĂşra kezelĂŠs szabĂĄly","[ Tour management rule ]"
"FelhasznĂĄlĂł kĂłd nyomtat","[ Print user code ]"
"TĂşra stĂĄtusz","[ Tour status ]"
"CsoportnĂŠv","[ Group name ]"
"JogcĂ­m kĂłd","[ Title code ]"
"TevĂŠkenysĂŠg sablon nĂŠv","[ Activity template name ]"
"ElsĹdleges telephely ĂŠs raktĂĄr beĂĄllĂ­tĂĄs","[ Primary location and warehouse setting ]"
"TĂşra","[ Tour]"
"RakodĂĄs alatt","[Loading ]"
"KĂłdszĂłtĂĄr","[ Code dictionary ]"
"PeriĂłdus: ","[ Period: ]"
"FelhasznĂĄlĂł kĂłd","[ User code ]"
"RaktĂĄr:","[ Warehouse: ]"
"FelhasznĂĄlĂł","[ User ]"
"RakodĂĄs stĂĄtusz","[ Loading status ]"
"VĂĄllalat felhasznĂĄlĂł","[ Company user ]"
"BeĂĄllĂ­tĂĄsok
megjelenĂ­tĂŠse","[ Settings\n]"
"MĂłdosĂ­t"," Change "
"TĂśrlĂŠs"," Delete "
"FeltĂślt"," Upload "
"KilĂŠpĂŠs"," Exit "
"VonalkĂłd:"," Barcode:"
"ElnevezĂŠs","Name "
"PĂŠnzmozgĂĄs szabĂĄly","[ Cash flow rule ]"
"Automatikus feltĂślt?"," Auto-fill?"
"A mĂłdosĂ­tĂĄsok a kĂśvetkezĹ bejelentkezĂŠskor lĂŠpnek ĂŠletbe.","[ Changes take effect the next time you log in. ]"
"A sĂŠma neve","[ Schema Name ]"
"TĂĄrolt eljĂĄrĂĄsok","[ Stored Procedures]"
"A tĂĄrolt eljĂĄrĂĄs neve","[Name of the stored procedure ]"
"A visszatĂŠrĂŠsi ĂŠrtĂŠk tĂ­pusa","[ Type of return value ]"
"(*)A lefordĂ­tandĂł szĂśveg","[ (*) Text to be translated ]"
"Nyelv kĂłd","[ Language code ]"
"A formĂĄlis paramĂŠter lista","[ List of formal parameters]"
"(*)[Nyelv]->A nyelv kĂłdja","[(*) [Language] -\u003e Language code]"
"SĂŠma"," Schema "
"TĂ­pus"," Type "
"ParamĂŠter","Parameter "
"VonalkĂłd: -","[ Barcode: - ]"
"KamerakĂŠp","Camera Image "
"VonalkĂłd+KĂŠp"," Barcode + Image"
"TĂşra indĂ­thatĂł?","[Can a tour be started?] ]"
"(*)KĂłd","[ (*) Code ]"
"IlletĂŠkessĂŠg","[ Jurisdiction]"
"KĂŠszletszint feltĂśltĂŠs szabĂĄly nĂŠv","[Inventory level replenishment rule name ]"
"ElsĹdleges Ăźzem nĂŠv","[ Primary plant name ]"
"KĂŠszletszint feltĂśltĂŠs szabĂĄly kĂłd","[ Inventory level replenishment rule code ]"
"ElsĹdleges Ăźzem kĂłd","[ Primary plant code ]"
"VĂĄllalat szervezet","[ Company organization ]"
"VĂĄllalat kĂłd","[ Company code ]"
"GyĂĄrtmĂĄnylap jĂłvĂĄhagyĂĄs kezdĹ dĂĄtum","[ Product sheet approval start date ]"
"VĂĄllalat nĂŠv","[ Company name]"
"SzerepkĂśrĂśk ĂŠs kĂŠszletmozgĂĄs jogok mĂĄsolĂĄsa","[ Copy roles and inventory movement rights ]"
"LeĂ­rĂĄs","[ Description ]"
"SzerepkĂśr felhasznĂĄlĂłk","[ Role users ]"
"ElsĹdleges telephely: ","[ Primary location: ]"
"TĂşra bizonylatszĂĄm","[Tour voucher number ]"
"TelepĂźlĂŠs","[ City ]"
"OrszĂĄg nĂŠv","[ Country name ]"
"KijelĂślt darab (gyĹąjtĹ)","[ Designated piece (collector) ]"
"Csak ĂŠlĹ tervek? ","[ Live plans only? ]"
"BĂśngĂŠszĹ","[Browser ]"
"  KĂŠszĂźltsĂŠgenkĂŠnt","[ By power ]"
"NyomtatandĂł darab (gyĹąjtĹ)","[ Piece to be printed (collector) ]"
"ĂjratervezĂŠs","[ Redesign ]"
"MennyisĂŠg","[ Quantity ]"
"NyomtatĂĄs
cikkenkĂŠnt","[ Print\n]"
"KijelĂślt hatĂłkĂśr","[ Selected scope ]"
"NyomtatĂĄs tĂşrĂĄnkĂŠnt - lapvĂĄltĂĄs tĂşrĂĄnkĂŠnt?","[ Print per tour - change pages per tour ]"
"ElĂŠrhetĹsĂŠg","[ Availability ]"
"Ăru kĂłd","[ Commodity code ]"
"MennyisĂŠg
kijelĂślt","[ Quantity\n]"
" HiĂĄnyra szĹąrĂŠs? ","[Missing screening? ]"
"1. TĂşra -
gyĹąjtĂŠsi pontok","[Tour 1 -\n]"
"HelyettesĂ­tett cikk
egysĂŠgĂĄr/kg","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"EgysĂŠgĂĄr/kg
eltĂŠrĂŠs","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"HelyettesĂ­tĹ cikk
egysĂŠgĂĄr","[Replacement article\n]"
"EgysĂŠgĂĄr/kg
eltĂŠrĂŠs %","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"HelyettesĂ­tĹ
cikk kĂłd","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"HelyettesĂ­tett
cikk ETK","[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]"
"Fix fĹkĂśnyvi szĂĄmla kĂłd","[Fixed General Ledger Account Code ]"
"TĂĄrgyi eszkĂśz csoport","[ Tangible Asset Group ]"
" FĹkĂśnyvi kategĂłria kĂłd szĹąrĹ: ","[ General Ledger Category Code Filter: ]"
"E. csoport nĂŠv","[ E. ]"
" DĂĄtum navigĂĄlĂĄs elĹszĹąrĹket frissĂ­t?  ","[Update date navigation pre-filters? ]"
" TĂĄblĂĄzatban a rendeltek megjelenjenek? ","[Should the orders appear in a table? ]"
"ElsĹdleges telephely","[Primary site ]"
"ĂthelyezĂŠs kĂŠszletmozgĂĄs nĂŠlkĂźl","[ Relocation without stock movement ]"
"Cross-docking tovĂĄbbĂ­tĂł cĂŠgre vonatkozĂł szĂĄllĂ­tĂĄsi dĂĄtum","[ Delivery date for cross-docking forwarding company ]"
"BruttĂł ĂŠrtĂŠk","[ Gross value ]"
"Raklap mĂŠrĂŠs","[ Pallet measurement ]"
"KijelĂślt
 tĂşrĂĄra - tĂĄrhelyeken","[ Selected\n ]"
"(*)A telephely vĂĄllalaton belĂźli egyedi kĂłdja","[(*) Site-specific unique code ]"
"Kiemelt kezelĂŠs?","[ Priority treatment? ]"
" TelepĂźlĂŠs: ","[ City: ]"
"Raklap ĂśsszesĂ­tĹ nyomtatĂĄs - kivĂĄlasztott","[ Pallet summary printing - selected ]"
"KomissiĂłs lista nyomtatĂĄs beĂĄllĂ­tĂĄsa","[ Commission list printing setting ]"
"Ăssz. sĂşly (kg):","[ Total ]"
"VisszĂĄru ok kĂłd","[Return reason code ]"
"EgyĂŠb adatok:","[ Other data: ]"
"F.HataridĹ:","[ F.Date: ]"
"NyomtatĂĄs elĹtt mĂłdosĂ­thatĂł?: ","[ Can be changed before printing ?: ]"
"0001I, KĂźlfĂśldre eladĂĄs kitĂĄrolĂĄssalI","[ 0001I, Sale abroad by checkoutI ]"
"FuvarkedvezmĂŠny kalkulĂĄlandĂł?: ","[ Freight discount to be calculated ?: ]"
"AdĂł
ĂŠrtĂŠk","[ Tax\n]"
"Alap egysĂŠgĂĄr:","[Base unit price: ]"
"HĂłnap","[ Month ]"
"TelepĂźlĂŠs:","[ City: ]"
"BeĂĄllĂ­tĂĄsok","[ Settings ]"
"RendszĂĄm:","[ License plate: ]"
"VisszĂĄru
darab (gyĹąjtĹ)","[ Return\n]"
"SzĂĄmla kelte","Creation date"
"FizetĂŠsi hatĂĄridĹ","Day of payment"
"TermĂŠny vĂĄsĂĄrlĂĄs prioritĂĄs: ","[ Crop purchase priority: ]"
"TermĂŠny vĂĄsĂĄrlĂĄs ĂĄrtĂ­pus: ","[ Crop purchase price type: ]"
"GenerĂĄlt cĂ­m: ","[ Generated address: ]"
" Igazolt szĂĄllĂ­tĂłlevĂŠl ĂĄtadĂĄs?","[ Certified delivery note transfer ]"
"Ărv.vĂŠge","[ Argument end ]"
"KĂśzterĂźlet nĂŠv: ","[ Public area name: ]"
"(*)[Melyik telepĂźlĂŠsen talĂĄlhatĂł a telephely.]->Az orszĂĄg egyedi neve","[ (*) [In which settlement is the site located ]"
"ĂjfĂŠl utĂĄni ĂłrĂĄk szĂĄma","[Number of hours after midnight ]"
"ĂrukĂ­sĂŠrĹ adattartalom: ","[ Accompanying data content: ]"
"AdĂł ĂĄrfolyam
tĂ­pus kĂłd","[ Tax rate\n]"
"TermĂŠny vĂĄsĂĄrlĂĄs pĂŠnznem: ","[Crop purchase currency: ]"
"BeszerzĂŠs ĂĄrfolyam
tĂ­pus kĂłd","[ Purchase rate\n]"
"KĂŠszlet sorrend","[Inventory order ]"
"VĂĄgĂłhĂ­d?","[ Slaughterhouse? ]"
"Munkalap fĹkĂśnyvi naplĂł: ","[Worksheet ledger: ]"
"LĂŠpcsĹhĂĄz: ","[ Staircase: ]"
"ENAR azonosĂ­tĂł","[ ENAR ID ]"
"RĂśvid nĂŠv","[ Short name ]"
"Ir.szĂĄm: ","[ Registration number: ]"
"FĹkĂśnyvi bizonylat hatĂĄrnap: ","[ General ledger deadline: ]"
"ĂrtĂŠk","[ Value ]"
"AdĂł ĂĄrfolyam tĂ­pus:","[ Tax rate type: ]"
"Offline tikett tĂ­pusa","[ Offline ticket type ]"
"SzĂĄmla jogcĂ­m nĂŠv","[ Account title name ]"
"ĂrtĂ­pus nĂŠv","[ Price type ]"
"Partner tĂ­pus","[Partner Type ]"
"ParitĂĄs: ","[ Parity: ]"
"Bolti terhelĂŠs jogcĂ­m:","[ Store Debit Item: ]"
"Ărfolyam tĂ­pus kĂłd","[ Exchange Rate Type Code ]"
"AjtĂł: ","[ Door: ]"
"HatĂĄrnapok","[ Deadlines ]"
"TĂŠtelkĂŠpzĂŠsi mĂłd(termelĂŠsi): ","[ Item Formation (Production): ]"
"KĂŠszlet feladĂĄs fĹkĂśnyvi naplĂł: ","[ Stock Posting General Ledger: ]"
"ĂrvĂŠnyessĂŠg
vĂŠge","[ Validity\n]"
"AdĂł kulcs","[Tax rate ]"
" Csak szĂĄllĂ­tĂłlevĂŠl kezelĂŠs?","[ Delivery note handling only ]"
"Ărfolyam tĂ­pus idĹszak","[ Exchange rate type period ]"
"Ărfolyamok","[ Exchange rates ]"
"KĂśltsĂŠghely: ","[ Cost center: ]"
"PĂŠnztĂĄr fĹkĂśnyvi naplĂł: ","[ Cash register ledger: ]"
"Bank fĹkĂśnyvi naplĂł:","[ Bank ledger: ]"
"SzĂŠkhely cĂ­m","[ Registered office address ]"
"FordĂ­tott ĂFA szabĂĄly","[ Reverse VAT rule ]"
"Partner tĂ­pus nĂŠv","[ Partner type name [ ]"
"Csoport azonosĂ­tĂł szĂĄm: ","[Group identification number: ]"
"ĂpĂźlet: ","[ Building: ]"
"TĂŠtelkĂŠpzĂŠsi mĂłd(szĂĄllĂ­tĂłi): ","[ Item creation method (suppliers): ]"
"TĂĄrgyi eszkĂśz fĹkĂśnyvi naplĂł:","[ Tangible asset general ledger journal: ]"
"PĂŠnzmozgĂĄs ĂĄrfolyam tĂ­pus:","[ Cash flow exchange rate type: ]"
"IndulĂł fordulĂł: ","[ Starting round: ]"
"Ărfolyam tĂ­pus nĂŠv","[ Exchange rate type name ]"
"Ăzem: ","[ Plant: ]"
"ĂrvĂŠnyessĂŠg
kezdete","[ Validity\n]"
"MennyisĂŠgi egysĂŠg: ","[Quantity unit: ]"
" ĂrukisĂŠrĹ kiszolgĂĄlĂĄs?","[ Accompanying service? ]"
" SzĂĄllĂ­tĂĄsszervezĂŠs ĂĄtadĂĄs?","[ Delivery organization transfer? ]"
"KompenzĂĄciĂł fĹkĂśnyvi naplĂł: ","[ Compensation ledger log: ]"
" Egyszerre mozgathatĂł maximĂĄlis mennyisĂŠg: ","[ Maximum quantity that can be moved at one time: ]"
"ĂrtĂŠkesĂ­tĂŠs ĂĄrfolyam
tĂ­pus nĂŠv","[ Sales rate\n]"
"TelepĂźlĂŠs: ","[Town: ]"
"Min. rendelĂŠsi ĂŠrtĂŠk: ","[ Min. ]"
"KĂŠsedelmi kamat tĂ­pus:","[Type of interest for late payment: ]"
"AdĂłszĂĄm: ","[ Tax number: ]"
"KĂśzĂśssĂŠgi adĂłszĂĄm: ","[ Community tax number: ]"
" SzĂĄmlĂĄz?","[ Invoice?\n]"
"SzĂĄllĂ­tĂłi megrendeles hatĂĄrnap: ","[Supplier Order Deadline: ]"
"AdĂłhatĂłsĂĄgi ellenĹrzĂŠsi adatszolgĂĄltatĂĄs","[ Tax Authority Audit Reporting ]"
"PĂŠnzmozgĂĄs ĂĄrfolyam
tĂ­pus nĂŠv","[ Cash Flow Rate\n]"
"SzĂŠkhely cĂ­m: ","[Headquarters Address: ]"
"FelvĂĄsĂĄrlĂĄs fizetĂŠsi hat. napok: ","[ Acquisition payment six. ]"
"MĹąkĂśdĂŠs","[Operation ]"
"ZĂĄrĂł fordulĂł: ","[ Closing round: ]"
"FelvĂĄsĂĄrlĂĄs fizetĂŠsi mĂłd:","[ Purchase payment method: ]"
"BeszerzĂŠs ĂĄrfolyam tĂ­pus:","[ Purchase exchange rate type: ]"
"FELIR azonosĂ­tĂł: ","[ FELIR identifier: ]"
"FĹkĂśnyv","[ General ledger ]"
"KĂśzterĂźlet jelleg: ","[ Public area type: ]"
"Ărv.kezdete","[ Argument start ]"
"ĂrtĂŠkesĂ­tĂŠs ĂĄrfolyam tĂ­pus:","[ Sales exchange rate type: ]"
"ĂrtĂŠkesĂ­tĂŠs ĂĄrfolyam
tĂ­pus kĂłd","[ Sales exchange rate\n]"
" AlapĂŠrtelmezett leltĂĄr mennyisĂŠg jelleg: ","[Default Inventory Quantity Type: ]"
"SzĂĄmla befogadĂĄs hatĂĄrnap: ","[ Invoice Receipt Deadline: ]"
"VĂĄllalat","[ Company ]"
"BeszerzĂŠs ĂĄrfolyam
tĂ­pus nĂŠv","[ Purchase Rate\n]"
"OrszĂĄg kĂłd","[Country code ]"
"AdĂł ĂĄrfolyam
tĂ­pus nĂŠv","[ Tax rate\n]"
"FizetĂŠsi mĂłd: ","[Payment method: ]"
"VevĹi megrendelĂŠs hatĂĄrnap: ","[ Sales order deadline: ]"
"SzĂĄmlakiĂĄllĂ­tĂĄs hatĂĄrnap: ","[ Invoice delivery deadline: ]"
"KĂŠszletforgalom hatĂĄrnap: ","[ Inventory turnover deadline: ]"
"VĂĄllalat ĂĄrfolyam","[ Company exchange rate ]"
"Ir.szĂĄm","[ Registration number ]"
"BeĂŠrkezĹ szĂĄmla feladĂĄs fĹk. naplĂł:","[ Incoming invoice sending principal. ]"
"PĂŠnzmozgĂĄs ĂĄrfolyam
tĂ­pus kĂłd","[Cash flow exchange rate\n]"
"MĹąkĂśdĂŠsi/JĂśvedĂŠki engedĂŠly szĂĄm: ","[Operating / Excise License Number: ]"
" RaktĂĄri kiszolgĂĄlĂĄs?","[ Warehouse Service? ]"
"HatĂłkĂśr","[ Scope ]"
"SzĂĄmla feladĂĄs fĹkĂśnyvi naplĂł:","[ Invoice Posting General Ledger: ]"
"HĂĄzszĂĄm: ","[ House Number: ]"
"GyĂĄrtĂĄs tĂ­pus: ","[ Production Type:]"
"(*)A vĂĄllalat egyedi kĂłdja","[(*) Unique company code]"
"TĂşra zsilip kitĂśltĂŠsi mĂłd","[Tour lock filling method ]"
"CĂ­m nĂŠv","[ Address name ]"
"CĂ­m","[ Address ]"
"ĂrtĂ­pus kĂłd","[ Price type code ]"
"BetĂĄrolĂĄsi javaslat?","[ Storage suggestion? ]"
"TermĂŠktanĂĄcs azonosĂ­tĂł","[ Product board ID ]"
"SzĂĄllĂ­tĂłlevĂŠl raktĂĄrankĂŠnt?","[ Delivery note per warehouse? ]"
"CĂ­m kĂłd","[Address code ]"
"SzĂĄmla jogcĂ­m","[ Account title ]"
"Partner kĂłd","[ Partner code ]"
"Sarzs kĂłd szegmens","[ Batch code segment ]"
"KTJ (KĂśrnyezetvĂŠdelmi TerĂźleti Jel)","[ KTJ (Environmental Territorial Sign) ]"
"KeresĹ nĂŠv","[ Search name ]"
"Partner nĂŠv","[ Partner name ]"
"SajĂĄt bolt munkaszĂĄm","[ Own shop number ]"
"RaktĂĄri mĹąszak kĂśvetĂŠs?","[ Warehouse shift tracking? ]"
"SajĂĄt bolt munkaszĂĄm nĂŠv","[ Own shop job number name ]"
"TĂşra indĂ­tĂĄs mĂłd","[ ]"
"(*)[VĂĄllalat]->A vĂĄllalat egyedi kĂłdja","[(*) [Company] -\u003e Unique company code]"
"VevĹ","[Customer ]"
"[SajĂĄt bolt munkaszĂĄm]->Sarzs kĂłd szegmens","[ [Own store work number] -\u003e Batch code segment ]"
"[SajĂĄt bolt munkaszĂĄm]->ElnevezĂŠs","[ [Own store work number] -\u003e Name]"
"  Automatikus feltĂślt?  ","[Auto upload?]"
"ĂrtĂŠkcsĂśkkenĂŠs kezdete","[Start of depreciation ]"
"GenerĂĄlĂĄs","[ Generation ]"
"ĂCS kulcs nĂŠv","[ ECS key name ]"
"Tervezet generĂĄlĂĄs","[ Draft generation ]"
"Ăvek szĂĄma","[ Number of years ]"
"GyĂĄriszĂĄm","[ Serial number ]"
"ĂrtĂŠkcsĂśkkenĂŠs kulcs","[ Depreciation key ]"
"EszkĂśzszĂĄm","[ Device number ]"
"ĂrtĂŠkcsĂśkkenĂŠs tervezet","[ Depreciation draft ]"
"ĂCS kulcs kĂłd","[ ECS key code ]"
"ĂCS ĂŠrtĂŠk","[ ECS value ]"
"StĂĄtusz","[ Status ]"
"ĂrtĂŠkcsĂśkkenĂŠs tervezet tĂŠtel","[ Depreciation draft item [ ]"
"FejlesztĂŠsi tartalĂŠk","[Development reserve ]"
"E. ĂŠrtĂŠkelĂŠs nĂŠv","[ E. ]"
"AlszĂĄm","[Subheading ]"
"ĂCS szĂĄmĂ­tĂĄs mĂłdszer","[ ECS calculation method ]"
"Ăjra generĂĄlĂĄs","[ Regeneration ]"
"MaradvĂĄny ĂŠrtĂŠk","[ Residual value ]"
"E. ĂŠrtĂŠkelĂŠs kĂłd","[ E. ]"
"Üzem:","[ Plant: ]"
"Lefordítandó szöveg","[Text to translate ]"
"Lefordított szöveg","[ Translated text ]"
"Show Putty Registry","[ Show Putty Registry ]"
"Log: ","[ Log: ]"
"Login Putty","[Login Putty ]"
"Próbaszöveg","[ Sample text ]"
"vrtSplita","[ vrtSplita ]"
"downloadFile","[ downloadFile ]"
"Levonható adó érték","[Deductible tax value]"
"Termék","[Product]"
"Fizetési mód","[Payment method]"
"Készletfajta","[Inventory type ]"
"Adó árfolyam","[Tax rate]"
"A megengedett értékek listája","[List of allowed values]"
"Nyomtatás","[Print]"
"Munkaszám kód","[Job number code]"
"Érvényesít","[ Validate ]"
"Összesített értékek pénznemenként","[ ]"
"Összes adó érték","[Total tax value]"
"NAV státusz","[NAV status]"
"Csekk példányszám","[Check number of copies]"
"ÁFA zárás dátum","[VAT closing date]"
"SWIFT kód","[SWIFT code]"
"Összes nettó érték","[Total Net Value]"
"Közvetített biz. szám","[Intermediate biz. ]"
"Számla fajta","[Account type]"
"Kamat típus","[Interest type]"
"Megrendelés","[Order]"
"Folyamatos szolgáltatás?","[Continuous service?]"
"Teljesítés kezdete","[Start of execution]"
"Üzemanyag kártya szám","[Fuel card number]"
"Számlaszám","[Invoice number]"
"Válassza ki a tételt!","Select the item!"
"Mentés","[ Save ]"
"Fordítás","[ Translate ]"
"Betöltés","[ Loading]"
"Connected (vc2-0)","[Connected (vc2-0)]"
"Tételképzés mód név","[Batch mode name ]"
"Munkahely","[ Workplace ]"
"Gyártás nap eltérés","[ Date of manufacture deviation ]"
"Cikk:","[ Article: ]"
"Cikk név:","[ Article name: ]"
"Tétel:","[ Item: ]"
"Lejárati dátum:","[ Expiry date: ]"
"(*)Az üzem egyedi kódja","[ (*) Unique code of the plant ]"
"Cikk kód:","[ Article code: ]"
"Etk:","[Etk: ]"
"Tételképzés mód kód","[ Batch mode code]"
"(*)A munkahely neve","[(*) Name of workplace ]"
"(*)A munkahely üzemen belüli egyedi kódja","[ (*) Unique code of the workplace on the holding ]"
"A munkahelyen aktuálisan feldolgozás alatt álló tétel kódja","[ Code of the batch currently being processed at the workplace]"
"fut: select * from uzem","[run: select * from uzem ]"
"Select Ok: select * from uzem","[ Select Ok: select * from uzem]"
"Banki nap?","[Bank day? ]"
"Naptári napok","[ Calendar days ]"
" Dátumtól: ","[ From: ]"
"Paraméterek","[ Parameters ]"
" Dátumig: ","[ To: ]"
"(*)A dátum","[ (*) The date ]"
"Érvénytelenít","[ Cancel ]"
"fut: select * from vagasi_igeny limit 100","[run: select * from vagasi_igeny limit 100 ]"
"Select Hiba: select * from vagasi_igeny limit 100","[ Select Error: select * from vagasi_igeny limit 100]"
"Select Ok: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021","[Select Ok: select * from ebsz_qml_vagasi_igeny_tabla ('2021-02-22', '2021 ]"
"fut: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021-06-21',95224637,'H')","[ run: select * from ebsz_qml_vagasi_igeny_tabla (' 2021-02-22 ',' 2021-06-21 ', 95224637,' H ')]"
"Üres mérlegre vár...","Waiting for empty scales..."
"Cikktáblázat","[Article table ]"
"Mérés","[ Measurement ]"
"Egalizált","[ Equalized ]"
"Korábbiak","[ Previous ]"
"Munkaszám","[ Number of jobs ]"
"Irány","[ Direction]"
"Nincs a munkahelyhez beállított tétel!","[There is no item set for the job!]"
"Adja meg a","[ Enter ]"
"darab számot","[ number of pieces ]"
"raklap","[ pallet ]"
"Adja meg a Raklap súlyát/Mozgó tárhely vonalkódját!","[ Enter Pallet weight / Moving storage barcode ]"
"Göngyöleg választás","[ Package selection]"
"Mérés kész","[ Measurement complete ]"
"tárhely","[ Storage ]"
"Raklap/Mozgó","[ Pallet / Moving ]"
"Utolsó mérés","[ Last measurement ]"
"Címke rontás","[ Label deterioration ]"
"Kijelölt tétel","[ Selected item ]"
"Kijelölt cikktáblázat","[ Selected item table ]"
"Betűméret","[Font size ]"
"Cikk kép megjelenítése","[Display item image ]"
"Sarzs: ","Lot:"
"Kiszállítás:","[Delivery: ]"
"Kiszedőhöz kijelölés
időpont","[ Assign to pickup\n]"
"Mennyiség
kiszedett","[Quantity\n]"
"Mind ki","[ All out ]"
"Nyomtatás túránként - raktár bontásban?","[ Print per tour - broken down by warehouse? ]"
"Túránként
gyártási utasításonként","[ Per tour\n]"
"Mind kijelölés/megfordítás","[All selection / inversion ]"
"Hiány mennyiség","[ Shortage quantity ]"
"1. vontatmány rendszám","[ 1. ]"
"Gyűjtő (darab)
kijelölt","[Collector (pieces)\n]"
"Zárókészlet jelzés e-mail címek","[Closing stock indication e-mail addresses ]"
"Leltár mennyiség jelleg","[ Inventory quantity type ]"
"Lejárat jelzés e-mail címek","[ Expiration indication e-mail addresses ]"
"Árualap viszony","[ Commodity basis relationship ]"
"Szervezet kód","[ Organization code ]"
"Készletmozgás bizonylaton megjelenítendő szöveg","[ Text to be displayed on the inventory movement document ]"
"Zóna kód","[ Zone code ]"
"Főkönyvi feladás?","[ General ledger posting? ]"
"Tárhelyre bevételezés mozgásnem","[ Storage entry movement type ]"
"Zóna név","[ Zone ]"
"Beszállító kód","[Supplier Code ]"
"Vállalati raktárak","[ Corporate Warehouses ]"
"Cikktáblázat
(kizárt cikkek)","[ Item Table\n]"
"Maradék eltérés többlet mozgásnem","[Residual deviation Excess movement type ]"
"Vezérelt leltár?","[ Controlled inventory?\n]"
"Tárhelyről kiadás mozgásnem név","[Release from storage movement name ]"
"Leltárkör","[ Inventory circle ]"
"Maradék eltérés hiány mozgásnem név","[ Residual discrepancy missing movement type ]"
"Tárhely kód","[ Storage code ]"
"Készletszint jelzés e-mail címek","[ Inventory level indication e-mail addresses ]"
"Cikktáblázat
(engedélyezett cikkek)","[ Article table\n]"
"Cikktáblázat név
(kizárt cikkek)","[Article table name\n]"
"alma","[Apple]"
"körte","[pear]"
"Nincs a munkahelyhez beállított feldolgozás alatti tétel!","[ No item set for workplace set! ]"
"Megrendelés száma","Invoice No."
"Cikk kód megjelenítése","[Display article code ]"
"Cikk infó megjelenítése","[ Display article info ]"
"Útvonal betűméret","[ Route font size ]"
"Cikk betűméret","[ Article font size ]"
"Mérleg cimkék rövidítése","[ Abbreviation of balance labels ]"
"Választó gombok szélessége","[ Width of selection buttons ]"
"Cikk név megjelenítése","[ Display article name ]"
"ETK megjelenítése","[ Display ETK]"
"Napi generálás","[Daily generation ]"
"Nap feloldása","[ Day unlock ]"
"Nap zárolása","[ Day lock ]"
"Adat generálás","[ Data generation]"
"Connected (vc5-0)","[Connected (vc5-0) ]"
"Connected (vc4-0)","[ Connected (vc4-0)]"
"Select Ok: select rjo_get_rendszer_parameter('EBSZ_HSZ_GJU_KETRECBEN_DA","[Select Cause: select rjo_get_system_parameter ('EBSZ_HSZ_GJU_KETRECBEN_DA ]"
"fut: select rjo_get_rendszer_parameter('EBSZ_HSZ_GJU_KETRECBEN_DARAB_LISTA','10-12')","[ running: select rjo_get_system_parameter (' EBSZ_HSZ_GJU_KETRECBEN_PUT_LIST ',' 10-12 ') ]"
"Rendszer paraméter","[ System parameter]"

